Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
57,tt6073176,2019-08-26,2019-08-26,,"The White Helmets","The White Helmets",https://www.imdb.com/title/tt6073176/,Short,7.5,41,2016,"Documentary, Short, War",8254,2016-09-16,"Orlando von Einsiedel",7,2019-08-26
58,tt7535612,2019-08-26,2019-08-26,,"A Night at the Garden","A Night at the Garden",https://www.imdb.com/title/tt7535612/,Short,6.6,7,2017,"Documentary, Short, History",1606,2017,"Marshall Curry",6,2019-08-26
59,tt1166827,2019-08-26,2019-08-26,,"Zeitgeist","Zeitgeist",https://www.imdb.com/title/tt1166827/,Video,8.1,118,2007,"Documentary, History",50528,2007-06-01,"Peter Joseph",8,2019-08-26
60,tt0104810,2019-08-27,2019-08-27,,"Manufacturing Consent: Noam Chomsky and the Media","Manufacturing Consent: Noam Chomsky and the Media",https://www.imdb.com/title/tt0104810/,Movie,8.1,167,1992,"Documentary, Biography, War",4972,1992-11-06,"Mark Achbar, Peter Wintonick",9,2019-08-27
61,tt10516984,2019-09-09,2019-09-09,,"Anima","Anima",https://www.imdb.com/title/tt10516984/,Short,7.6,15,2019,"Short, Music",13590,2019-06-27,"Paul Thomas Anderson",8,2019-09-09
62,tt10810424,2019-09-09,2019-09-09,,"Dave Chappelle: Sticks & Stones","Dave Chappelle: Sticks & Stones",https://www.imdb.com/title/tt10810424/,TV Special,8.3,65,2019,"Comedy",28304,2019-08-26,"Stan Lathan",7,2019-09-09
63,tt1950304,2019-10-22,2019-10-22,,"Pitch Black Heist","Pitch Black Heist",https://www.imdb.com/title/tt1950304/,Short,7.3,13,2011,"Short, Crime, Drama",1425,2012-04,"John Maclean",6,2019-10-22
64,tt6016744,2019-10-27,2019-10-27,,"The Edge of Democracy","The Edge of Democracy",https://www.imdb.com/title/tt6016744/,Movie,7.3,121,2019,"Documentary, History",15829,2019-06-19,"Petra Costa",9,2019-10-28
65,tt4846318,2019-11-07,2019-11-07,,"Into the Inferno","Into the Inferno",https://www.imdb.com/title/tt4846318/,Movie,7.2,104,2016,"Documentary",10138,2016-10-28,"Werner Herzog",8,2019-11-07
66,tt0096257,2019-11-13,2019-11-13,,"The Thin Blue Line","The Thin Blue Line",https://www.imdb.com/title/tt0096257/,Movie,7.9,101,1988,"Documentary, Crime",26433,1988-08-25,"Errol Morris",7,2019-11-13
67,tt2246565,2019-11-26,2019-11-26,,"An Honest Liar","An Honest Liar",https://www.imdb.com/title/tt2246565/,Movie,7.4,90,2014,"Documentary, Biography, Comedy, History",10642,2014-11-02,"Tyler Measom, Justin Weinstein",8,2019-11-26
68,tt10031470,2020-02-24,2020-02-24,,"Natural World: Humpback Whales: A Detective Story","Natural World: Humpback Whales: A Detective Story",https://www.imdb.com/title/tt10031470/,TV Episode,8.1,,2019,"Documentary",32,2019-02-08,,7,2020-02-24
69,tt8760684,2020-03-15,2020-03-15,,"Apollo 11","Apollo 11",https://www.imdb.com/title/tt8760684/,Movie,8.1,93,2019,"Documentary, History",27520,2019-03-01,"Todd Douglas Miller",10,2020-03-15
70,tt3674140,2020-03-23,2020-03-23,,"The Salt of the Earth","The Salt of the Earth",https://www.imdb.com/title/tt3674140/,Movie,8.4,110,2014,"Documentary, Biography, History",23854,2014-10-15,"Juliano Ribeiro Salgado, Wim Wenders",10,2020-03-23
71,tt1556190,2020-03-27,2020-03-27,,"Nostalgia for the Light","Nostalgia de la luz",https://www.imdb.com/title/tt1556190/,Movie,7.6,90,2010,"Documentary",6216,2011-03-17,"Patricio Guzmán",8,2020-03-27
72,tt8991268,2020-03-30,2020-03-30,,"Honeyland","Medena zemja",https://www.imdb.com/title/tt8991268/,Movie,8.0,89,2019,"Documentary, Drama",19614,2019-07-26,"Tamara Kotevska, Ljubomir Stefanov",7,2020-03-30
73,tt0311356,2020-04-14,2020-04-14,,"War and Peace","Jang Aur Aman",https://www.imdb.com/title/tt0311356/,Movie,8.1,148,2002,"Documentary, War",154,2002-04-28,"Anand Patwardhan",8,2020-04-14
74,tt8811382,2020-04-21,2020-04-21,,"Meeting Gorbachev","Meeting Gorbachev",https://www.imdb.com/title/tt8811382/,Movie,7.2,90,2018,"Documentary, Biography, History",2785,2019-05-03,"Werner Herzog, André Singer",7,2020-04-21
75,tt9617456,2020-04-24,2020-04-24,,"For Sama","For Sama",https://www.imdb.com/title/tt9617456/,Movie,8.5,100,2019,"Documentary, Biography, War",13018,2019-07-26,"Waad Al-Kateab, Edward Watts",10,2020-04-24
76,tt12048340,2020-05-11,2020-05-11,,"Frontline: China Undercover","Frontline: China Undercover",https://www.imdb.com/title/tt12048340/,TV Episode,7.9,53,2020,"Documentary, News",69,2020-04-07,"Robin Barnwell, Brent E. Huffman, Katerina Monemvassitis",8,2020-05-11
77,tt1855043,2020-07-11,2020-07-11,,"The Spice Trail","The Spice Trail",https://www.imdb.com/title/tt1855043/,TV Series,7.2,,2011,"Documentary",64,2011-02-17,,7,2020-07-11
78,tt1790736,2020-07-17,2020-07-17,,"Inception: The Cobol Job","Inception: The Cobol Job",https://www.imdb.com/title/tt1790736/,Video,7.5,14,2010,"Animation, Short, Action, Sci-Fi",3790,2010-12-07,"Ian Kirby",7,2020-07-17
79,tt0846789,2020-08-25,2020-08-25,,"The Secret","The Secret",https://www.imdb.com/title/tt0846789/,Video,5.5,90,2006,"Documentary",14151,2007-09-13,"Drew Heriot",3,2020-08-25
80,tt5709536,2020-08-27,2020-08-27,,"Angry Inuk","Angry Inuk",https://www.imdb.com/title/tt5709536/,Movie,7.6,85,2016,"Documentary",376,2017-02-03,"Alethea Arnaquq-Baril",7,2020-08-27
