Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,CoverLink,Year
964338,The Travels of Sir John Mandeville (Penguin Classics),John Mandeville,"Mandeville, John",C.W.R.D. Moseley,"=""0141441437""","=""9780141441436""",3,3.32,Penguin Classics,Paperback,222,2005,1357,2021/06/13,2021/06/13,,,read,"The first 1/3rd fo the book is rather boring as it goes into considerable detail of how to reach the Holy Land - supposedly written as a guide to Christian pilgrims who want to go to Jerusalem. But I guess the remaining portion makes up for it. I was particularly interested on what he had to say about India and East Asia as that must have been exotic for a British Knight. I wasn't disappointed when his first description of Indians began with - <i>The people who dwell near the river are an ugly colour, yellow and green</i>. Overall a wholesome account of absurd claims just enough to keep you interested till the end for the rest of the book.",,,1,0,1547378674l,2021
40000474,99 Variations on a Proof,Philip Ording,"Ording, Philip",,"=""0691158835""","=""9780691158839""",3,4.33,Princeton University Press,Hardcover,272,2019,2019,2021/06/09,2021/06/09,,,read,"It's a fun read. The 99 proof variations are actually the different ways of presenting solutions to a cubic equation of no particular significance. Except that it's a degenerate cubic. Some of the proofs I liked were Wordless, Model, Origami, Clever, Geometric and Word Problem. But perhaps the best is the one named Omitted with Condescension - <br/><blockquote>There is a simply beautiful theorem which provides all solutions of the equation x^3− 6x^2+ 11x−6=2x− 2. Alas, any further explanation would deny you the satisfaction of discovering it on your own...</blockquote><br/>Having said that many of the proofs are rather dry. They are inserted ostensibly to reach the number 99 which was probably a choice made for obvious reasons. Variations like blog format, or just showing the same proof in LaTeX as a separate variation is rather dull. <br/>Each variation of the proof is only one page long followed by a one page commentary. The commenataries are a treasure trove of trvia on how different mathematical styles were developed and the context in which they developed.",,,1,0,1529064339l,2021
10310,"The Argumentative Indian: Writings on Indian History, Culture and Identity",Amartya Sen,"Sen, Amartya",,"=""031242602X""","=""9780312426026""",4,3.83,Picador,Paperback,409,2006,2005,2021/05/31,2021/05/31,,,read,,,,1,0,1389175338l,2021
9555,The Elephant Vanishes,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Alfred Birnbaum","=""""","=""""",3,3.83,Vintage,Paperback,327,1994,1993,2021/05/03,2020/09/15,,,read,,,,1,0,1642991320l,2021
54791803,RAW: A History of India's Covert Operations,Yatish Yadav,"Yadav, Yatish",,"=""""","=""""",2,3.86,Westland,Kindle Edition,384,2020,2020,2021/03/14,2021/03/14,,,read,,,,1,0,1596418838l,2021
15772884,1Q84,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0099578077""","=""9780099578079""",0,3.95,Vintage,Paperback,1318,2012,2009,,2013/06/11,to-read,to-read (#4),to-read,,,,0,0,#N/A,Err:502
6004377,The Road to Woodstock,Michael  Lang,"Lang, Michael",Holly George-Warren,"=""0061576557""","=""9780061576553""",3,4.09,Ecco,Hardcover,304,2009,2009,2021/01/30,2021/01/30,,,read,,,,1,0,1348552227l,2021
37007780,The Billionaire Raj: A Journey Through India's New Gilded Age,James  Crabtree,"Crabtree, James",,"=""1524760064""","=""9781524760069""",0,3.84,Tim Duggan Books,Hardcover,416,2018,2018,,2020/10/12,to-read,to-read (#25),to-read,,,,0,0,#N/A,Err:502
11059934,A Fine Balance,Rohinton Mistry,"Mistry, Rohinton",,"=""0571248241""","=""""",3,4.38,Faber & Faber,Kindle Edition,624,2008,1995,2020/10/11,2020/10/11,,,read,,,,1,0,1575897039l,2020
13148020,"I, Galileo",Bonnie Christensen,"Christensen, Bonnie",,"=""0375867538""","=""9780375867538""",3,4.03,Knopf Books for Young Readers,Hardcover,40,2012,2012,2020/10/05,2020/10/11,,,read,,,,1,0,1333577966l,2020
13180629,Free Will,Sam Harris,"Harris, Sam",,"=""""","=""""",3,3.86,,Kindle Edition,96,2012,2012,2020/10/01,2020/10/01,,,read,,,,1,0,1332924961l,2020
20048667,The Metamorphosis,Franz Kafka,"Kafka, Franz","David Cronenberg, Susan Bernofsky","=""0393347656""","=""9780393347654""",4,3.89,W. W. Norton & Company,Kindle Edition,69,2014,1915,2020/09/26,2020/09/25,,,read,,,,1,0,1394230540l,2020
6563871,The Crucible,Arthur  Miller,"Miller, Arthur",Christopher Bigsby,"=""""","=""""",3,3.6,Penguin Classics,Kindle Edition,99,2003,1946,2020/09/18,2020/09/18,,,read,,,,1,0,1617974593l,2020
19219044,10 Judgements That Changed India,Zia Mody,"Mody, Zia",,"=""""","=""9788184759532""",3,4.07,Shobhaa De Books,Kindle Edition,257,2013,2013,2020/09/11,2020/09/11,,,read,,,,1,0,1386284045l,2020
33119335,Beyond Good and Evil (Translated by Helen Zimmern with Introductions by Willard Huntington Wright and Thomas Common),Friedrich Nietzsche,"Nietzsche, Friedrich","Helen Zimmern, Willard Huntington Wright, Thomas Common","=""1420951955""","=""9781420951950""",3,4.03,Digireads.com Publishing,Kindle Edition,183,2015,1886,2020/09/07,2020/09/07,,,read,,,,1,0,1479985112l,2020
26104340,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",,"=""9176370240""","=""9789176370247""",3,3.81,Chiron Academic,Kindle Edition,79,2019,1884,2020/09/02,2020/09/02,,,read,,,,1,0,1440932533l,2020
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,"=""0752864327""","=""9780752864327""",4,4.05,Orion,Paperback,566,2005,1980,2008/11/01,2020/09/02,,,read,,,,1,0,1335860740l,2008
825690,Indian Summer: The Secret History of the End of an Empire,Alex von Tunzelmann,"Tunzelmann, Alex von",,"=""0743285883""","=""9780743285889""",5,4.09,Simon & Schuster,Hardcover,480,2007,2007,2020/07/20,2020/07/20,,,read,,,,1,0,1348420973l,2020
